ligand_id,SMILES,cluster00_BE,cluster01_BE,cluster02_BE,cluster03_BE,cluster04_BE,cluster05_BE,cluster06_BE,cluster07_BE,cluster08_BE,is_active
M2R-decoy_2818,CCN(CC)C(=O)Cc1c(c2ccc(OCCc3ccccc3)cc2)nn2c(C)cc(C)nc12,-9.193,-9.21563372873822,-9.277618195096409,-8.158552545637031,-6.969700306037417,-9.036024196616026,-6.623118738656839,-6.678438950327562,-6.496951960914274,0
M2R-decoy_2819,CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,-4.596,-3.8346337287382175,-3.9226181950964074,-4.91155254563703,-3.6627003060374177,-2.5770241966160263,-1.796118738656839,-3.497438950327563,-2.5709519609142744,0
M2R-decoy_282,O=C1Nc2c(Br)cccc2S(=O)(=O)N1,-8.146,-7.413633728738219,-7.860618195096407,-5.84855254563703,-5.319700306037418,-6.003024196616026,-5.510118738656839,-4.765438950327563,-5.389951960914274,0
M2R-decoy_2820,CCCCOc1ccc(C(=O)N(Cc2ccc(C(C)C)cc2)C2CCS(=O)(=O)C2)cc1,-8.33,-7.483633728738219,-9.417618195096406,-7.572552545637031,-6.465700306037418,-5.408024196616026,-6.1491187386568384,-5.093438950327563,-5.526951960914275,0
M2R-decoy_2821,COc1ccc(CC(=O)O[C@H](CC=C(C)C)c2cc(OC)c3c(c2OC)C(=O)C=CC3=O)cc1,-8.549,-7.906633728738219,-7.5636181950964065,-7.55755254563703,-6.264700306037417,-5.611024196616026,-5.263118738656839,-6.655438950327563,-5.710951960914274,0
M2R-decoy_2822,CCCn1/c(=N/c2ccc(OCC)cc2)scc1c1ccc(S(=O)(=O)N2CCOCC2)cc1,-8.601,-7.571633728738218,-8.893618195096407,-6.60555254563703,-5.902700306037418,-5.002024196616026,-5.739118738656838,-5.8704389503275625,-5.694951960914274,0
M2R-decoy_2823,CCCn1cc(S(=O)(=O)c2ccc(CC)cc2)c(=O)c2cc(F)c(N(CC)CC)cc21,-9.046,-8.344633728738218,-7.963618195096407,-7.22455254563703,-5.5157003060374175,-5.255024196616026,-5.403118738656838,-6.105438950327563,-6.247951960914275,0
M2R-decoy_2824,Cc1ncc([N+](=O)[O-])n1CCOC(=O)c1ccccc1OCc1cccc(Cl)c1F,-9.254,-9.22763372873822,-9.231618195096406,-8.35755254563703,-7.624700306037418,-7.961024196616027,-6.848118738656838,-6.998438950327563,-6.733951960914274,0
M2R-decoy_2825,CCCCC(=O)N(C)c1c(CC)nc2c(OCc3ccc(S(C)(=O)=O)cc3)cccn12,-8.821,-8.351633728738218,-7.952618195096406,-7.31455254563703,-5.876700306037417,-7.680024196616026,-5.825118738656839,-6.061438950327563,-5.853951960914275,0
M2R-decoy_2826,COCCN(C(=O)c1ccc2c(c1OC)C=CC(C)(C)O2)c1ccc(OC)c(OC)c1,-7.759,-7.431633728738218,-7.331618195096405,-7.178552545637031,-5.227700306037417,-5.3220241966160255,-5.413118738656838,-6.092438950327563,-5.922951960914274,0
M2R-decoy_2827,C=CCSc1ccc2c3c(cccc13)C1=NC(=O)C(C(=O)OCC(=O)SCCC)=C12,-9.791,-9.517633728738218,-10.196618195096406,-7.392552545637031,-8.040700306037417,-6.919024196616025,-7.7451187386568385,-6.126438950327563,-7.648951960914275,0
M2R-decoy_2828,CC1=C(CC(=O)OCCO[N+](=O)[O-])c2cc(F)ccc2/C1=C\c1ccc(S(C)(=O)=O)cc1,-10.825,-10.57463372873822,-10.438618195096408,-7.683552545637029,-7.513700306037418,-8.861024196616025,-7.372118738656839,-6.672438950327562,-7.888951960914275,0
M2R-decoy_2829,COC(=O)c1ccc(/C=C/C(=O)N(Cc2ccccc2)Cc2ccccc2[N+](=O)[O-])cc1,-8.743,-8.65363372873822,-9.127618195096408,-7.2425525456370305,-6.708700306037418,-7.315024196616026,-5.968118738656839,-5.8864389503275625,-7.055951960914275,0
M2R-decoy_283,O=C1NC(=O)/C(=C\c2ccc3c(c2)OC(F)(F)O3)S1,-10.168,-9.10263372873822,-9.395618195096406,-7.478552545637029,-7.0877003060374175,-7.759024196616027,-7.683118738656839,-5.999438950327563,-6.931951960914274,0
M2R-decoy_2830,Clc1ccc(CC[C@@]2(Cn3ccnc3)OC[C@@H](COc3ccc(Br)cc3)O2)cc1,-9.016,-8.558633728738219,-8.341618195096407,-7.902552545637031,-6.997700306037418,-6.701024196616025,-5.805118738656839,-6.541438950327564,-6.187951960914274,0
M2R-decoy_2831,CCCN(CCC)C(=O)CSc1nc2ccccc2c(=O)n1CC1COc2ccccc2O1,-8.845,-8.713633728738218,-9.043618195096409,-7.546552545637031,-5.726700306037418,-6.236024196616026,-5.422118738656838,-6.463438950327562,-6.044951960914274,0
M2R-decoy_2832,CCOc1ccc(NC(=O)CSc2nnc(Cn3cnc4ccccc43)n2C)cc1,-9.15,-8.69863372873822,-9.186618195096406,-7.145552545637031,-7.358700306037418,-7.343024196616026,-6.631118738656838,-6.117438950327563,-6.775951960914275,0
M2R-decoy_2833,COc1ccc(c2cc(C#N)ccc2COCc2cncn2Cc2ccc(C#N)cc2)cn1,-10.036,-9.42963372873822,-9.078618195096409,-7.273552545637029,-7.733700306037418,-8.591024196616026,-6.119118738656839,-5.356438950327563,-7.299951960914274,0
M2R-decoy_2834,CCCOCCc1cc(c2ccc(S(C)(=O)=O)cc2)n(c2ccc(F)c(F)c2)c1C,-9.046,-8.062633728738218,-9.919618195096406,-6.90555254563703,-6.044700306037417,-7.201024196616025,-6.258118738656838,-5.720438950327563,-7.160951960914275,0
M2R-decoy_2835,C[Si](C)(CC(C#N)(Cn1cncn1)c1cccc(Oc2ccccc2)c1)c1ccccc1,-8.783,-8.415633728738218,-7.573618195096406,-8.16355254563703,-6.5717003060374175,-6.136024196616026,-5.039118738656839,-6.961438950327564,-6.414951960914275,0
M2R-decoy_2836,CCCCOC(=O)CSCC(=O)N1N=C(c2cccs2)CC1c1ccc(F)cc1,-8.557,-6.631633728738218,-6.989618195096407,-6.58355254563703,-5.232700306037417,-5.156024196616026,-4.639118738656839,-5.573438950327563,-5.255951960914274,0
M2R-decoy_2837,CC(C)N(Cc1nc(c2ccc(Cl)cc2)no1)C(=O)CN(C)S(=O)(=O)c1ccc(Cl)cc1,-8.085,-8.679633728738219,-8.271618195096407,-7.93955254563703,-7.519700306037418,-7.669024196616025,-5.632118738656839,-6.704438950327562,-6.644951960914275,0
M2R-decoy_2838,CC(Oc1ccc(F)cc1)c1nnc(SCC(=O)N(c2ccccc2)C2CCS(=O)(=O)C2)o1,-8.914,-8.24963372873822,-8.115618195096406,-8.36155254563703,-7.243700306037418,-6.914024196616026,-6.166118738656838,-6.478438950327563,-5.998951960914274,0
M2R-decoy_2839,COc1ccc(c2noc(CN(C(=O)COc3cc(C)c(Br)c(C)c3)C(C)C)n2)cc1,-9.792,-8.994633728738219,-8.459618195096406,-8.01355254563703,-7.726700306037417,-7.380024196616025,-6.722118738656839,-5.568438950327563,-6.668951960914274,0
